[Epoch 1/1000] Loss: 2.0804  Acc: 15.62%
[Epoch 2/1000] Loss: 1.9355  Acc: 24.83%
[Epoch 3/1000] Loss: 1.6199  Acc: 38.51%
[Epoch 4/1000] Loss: 1.4729  Acc: 44.23%
[Epoch 5/1000] Loss: 1.4055  Acc: 46.85%
[Epoch 6/1000] Loss: 1.3595  Acc: 49.02%
[Epoch 7/1000] Loss: 1.3323  Acc: 49.86%
[Epoch 8/1000] Loss: 1.2770  Acc: 52.23%
[Epoch 9/1000] Loss: 1.2215  Acc: 54.78%
[Epoch 10/1000] Loss: 1.1878  Acc: 56.39%
[Epoch 11/1000] Loss: 1.1583  Acc: 57.11%
[Epoch 12/1000] Loss: 1.1341  Acc: 58.28%
[Epoch 13/1000] Loss: 1.1035  Acc: 59.46%
[Epoch 14/1000] Loss: 1.0901  Acc: 60.17%
[Epoch 15/1000] Loss: 1.0798  Acc: 60.33%
[Epoch 16/1000] Loss: 1.0699  Acc: 60.80%
[Epoch 17/1000] Loss: 1.0674  Acc: 60.79%
[Epoch 18/1000] Loss: 1.0523  Acc: 61.61%
[Epoch 19/1000] Loss: 1.0528  Acc: 61.51%
[Epoch 20/1000] Loss: 1.0465  Acc: 61.64%
[Epoch 21/1000] Loss: 1.0495  Acc: 61.55%
[Epoch 22/1000] Loss: 1.0390  Acc: 62.11%
[Epoch 23/1000] Loss: 1.0375  Acc: 62.18%
[Epoch 24/1000] Loss: 1.0297  Acc: 62.32%
[Epoch 25/1000] Loss: 1.0264  Acc: 62.50%
[Epoch 26/1000] Loss: 1.0152  Acc: 62.93%
[Epoch 27/1000] Loss: 1.0114  Acc: 63.22%
[Epoch 28/1000] Loss: 1.0128  Acc: 62.96%
[Epoch 29/1000] Loss: 1.0040  Acc: 63.21%
[Epoch 30/1000] Loss: 1.0046  Acc: 63.22%
[Epoch 31/1000] Loss: 0.9967  Acc: 63.51%
[Epoch 32/1000] Loss: 1.0045  Acc: 63.22%
[Epoch 33/1000] Loss: 0.9990  Acc: 63.69%
[Epoch 34/1000] Loss: 0.9913  Acc: 63.47%
[Epoch 35/1000] Loss: 0.9885  Acc: 64.08%
[Epoch 36/1000] Loss: 0.9882  Acc: 63.68%
[Epoch 37/1000] Loss: 0.9860  Acc: 64.02%
[Epoch 38/1000] Loss: 0.9876  Acc: 63.71%
[Epoch 39/1000] Loss: 0.9837  Acc: 63.84%
[Epoch 40/1000] Loss: 0.9843  Acc: 63.79%
[Epoch 41/1000] Loss: 0.9893  Acc: 63.61%
[Epoch 42/1000] Loss: 0.9758  Acc: 64.20%
[Epoch 43/1000] Loss: 0.9765  Acc: 64.29%
[Epoch 44/1000] Loss: 0.9681  Acc: 64.64%
[Epoch 45/1000] Loss: 0.9793  Acc: 64.02%
[Epoch 46/1000] Loss: 0.9739  Acc: 64.27%
[Epoch 47/1000] Loss: 0.9746  Acc: 64.40%
[Epoch 48/1000] Loss: 0.9703  Acc: 64.46%
[Epoch 49/1000] Loss: 0.9678  Acc: 64.33%
[Epoch 50/1000] Loss: 0.9683  Acc: 64.23%
